bug id,severity
1144324,normal
1144327,normal
1144329,major
1144331,normal
1144333,blocker
1144337,blocker
1144340,minor
1144341,critical
1144345,enhancement
1144347,trivial
1144352,major
1144356,major
1144358,enhancement
1144361,trivial
1144366,major
1144369,trivial
1144371,major
1144374,normal
1144378,normal
1144381,normal
1144389,normal
1144397,enhancement
1144398,enhancement
1144401,major
1144409,normal
1144411,blocker
1144414,blocker
1144418,major
1144432,normal
1144434,major
1144450,enhancement
1144451,blocker
1144452,blocker
1144457,critical
1144465,major
1144481,enhancement
1144486,trivial
1144487,major
1144491,minor
1144496,blocker
1144497,normal
1144501,enhancement
1144505,normal
1144507,blocker
1144508,major
1144509,normal
1144514,enhancement
1144516,trivial
1144519,major
1144520,critical
1144523,critical
1144525,critical
1144529,critical
1144534,trivial
1144535,normal
1144576,minor
1144580,major
1144600,enhancement
1144601,blocker
1144602,minor
1144603,normal
1144607,enhancement
1144617,blocker
1144619,critical
1144625,major
1144626,enhancement
1144630,enhancement
1144631,critical
1144632,trivial
1144633,enhancement
1144635,normal
1144638,normal
1144641,blocker
1144643,minor
1144649,critical
1144650,trivial
1144656,trivial
1144658,minor
1144660,minor
1144661,trivial
1144665,trivial
1144670,critical
1144672,minor
1144674,critical
1144678,trivial
1144692,major
1144695,enhancement
1144715,minor
1144725,trivial
1144738,major
1144741,trivial
1144743,enhancement
1144745,critical
1144751,enhancement
1144754,normal
1144759,trivial
1144768,normal
1144786,normal
1144789,critical
1144794,major
1144802,enhancement
1144806,trivial
1144810,enhancement
1144811,major
1144813,trivial
1144817,critical
1144819,enhancement
1144825,critical
1144827,blocker
1144828,enhancement
1144831,normal
1144832,blocker
1144834,critical
1144842,trivial
1144852,blocker
1144857,minor
1144875,blocker
1144876,enhancement
1144885,minor
1144889,major
1144899,minor
1144900,minor
1144902,major
1144905,trivial
1144906,trivial
1144912,normal
1144920,blocker
1144925,normal
1144931,trivial
1144933,enhancement
1144935,blocker
1144940,minor
1144946,normal
1144951,critical
1144952,minor
1144953,normal
1144955,normal
1144957,critical
1144960,trivial
1144961,major
1144962,critical
1144963,critical
1144964,normal
1144968,major
1144973,critical
1144977,trivial
1144980,normal
1144983,trivial
1144984,critical
1144987,blocker
1144988,blocker
1144990,minor
1144991,enhancement
1144994,minor
1145004,blocker
1145007,blocker
1145011,blocker
1145014,critical
1145015,trivial
1145017,major
1145018,blocker
1145029,trivial
1145030,trivial
1145036,enhancement
1145037,normal
1145038,blocker
1145050,minor
1145051,major
1145056,enhancement
1145057,critical
1145058,enhancement
1145084,blocker
1145085,blocker
1145089,blocker
1145090,major
1145091,enhancement
1145094,critical
1145098,enhancement
1145101,trivial
1145102,blocker
1145105,major
1145106,major
1145111,blocker
1145116,major
1145143,critical
1145148,enhancement
1145149,normal
1145150,critical
1145151,major
1145152,trivial
1145153,trivial
1145154,blocker
1145167,trivial
1145175,trivial
1145181,minor
1145191,major
1145195,trivial
1145203,normal
1145206,enhancement
1145218,normal
1145224,trivial
1145230,normal
1145235,major
1145246,blocker
1145249,normal
1145251,critical
1145255,major
1145258,enhancement
1145263,blocker
1145278,minor
1145282,normal
1145292,critical
1145294,normal
1145295,enhancement
1145296,minor
1145297,blocker
1145306,critical
1145318,enhancement
1145320,critical
1145321,blocker
1145323,critical
1145326,trivial
1145327,blocker
1145345,enhancement
1145354,enhancement
1145366,critical
1145379,minor
1145382,blocker
1145389,critical
1145390,normal
1145395,major
1145403,major
1145405,major
1145407,normal
1145411,blocker
1145413,trivial
1145416,critical
1145426,critical
1145429,minor
1145430,trivial
1145432,major
1145439,minor
1145440,trivial
1145443,blocker
1145445,minor
1145448,minor
1145468,minor
1145470,blocker
1145471,blocker
1145475,normal
1145479,major
1145481,minor
1145486,critical
1145488,major
1145491,normal
1145492,blocker
1145496,trivial
1145501,blocker
1145503,enhancement
1145506,critical
1145513,enhancement
1145514,enhancement
1145515,normal
1145517,normal
1145546,trivial
1145560,blocker
1145570,major
1145572,trivial
1145574,enhancement
1145575,major
1145576,major
1145582,minor
1145584,minor
1145585,major
1145586,major
1145589,critical
1145598,critical
1145608,normal
1145613,normal
1145623,trivial
1145624,normal
1145627,normal
1145631,enhancement
1145634,major
1145635,enhancement
1145636,normal
1145641,enhancement
1145644,major
1145667,trivial
1145672,trivial
1145676,blocker
1145679,enhancement
1145686,critical
1145702,normal
1145709,normal
1145710,minor
1145721,blocker
1145724,trivial
1145728,major
1145730,enhancement
1145731,blocker
1145736,normal
1145743,major
1145744,critical
1145761,enhancement
1145764,enhancement
1145768,blocker
1145779,major
1145781,enhancement
1145782,major
1145785,minor
1145786,trivial
1145787,blocker
1145792,minor
1145795,enhancement
1145803,normal
1145811,critical
1145812,normal
1145815,major
1145816,enhancement
1145824,minor
1145831,trivial
1145838,trivial
1145841,trivial
1145844,trivial
1145854,enhancement
1145866,major
1145870,major
1145876,critical
1145882,major
1145883,major
1145888,minor
1145889,minor
1145891,enhancement
1145893,normal
1145899,enhancement
1145900,minor
1145902,major
1145903,trivial
1145904,critical
1145907,critical
1145908,minor
1145910,blocker
1145912,enhancement
1145916,minor
1145924,critical
1145926,normal
1145927,critical
1145928,enhancement
1145931,critical
1145934,blocker
1145936,enhancement
1145937,critical
1145950,major
1145951,normal
1145956,normal
1145957,blocker
1145961,trivial
1145965,critical
1145968,critical
1145969,major
1145976,blocker
1145978,enhancement
1145981,critical
1145987,critical
1145988,normal
1145990,major
1145997,enhancement
1146002,enhancement
1146008,major
1146012,blocker
1146014,minor
1146015,blocker
1146019,critical
1146020,enhancement
1146021,blocker
1146022,major
1146024,minor
1146027,critical
1146031,critical
1146032,blocker
1146033,minor
1146034,major
1146040,enhancement
1146041,major
1146043,minor
1146045,major
1146051,trivial
1146057,major
1146058,enhancement
1146059,enhancement
1146061,blocker
1146066,blocker
1146067,minor
1146072,normal
1146080,enhancement
1146086,blocker
1146092,trivial
1146096,minor
1146101,major
1146103,critical
1146105,blocker
1146107,critical
1146109,trivial
1146112,blocker
1146114,normal
1146116,blocker
1146117,blocker
1146119,major
1146123,critical
1146131,normal
1146134,critical
1146136,critical
1146145,critical
1146150,normal
1146151,normal
1146156,blocker
1146158,blocker
1146165,blocker
1146169,enhancement
1146182,minor
1146189,enhancement
1146191,critical
1146192,blocker
1146195,blocker
1146196,blocker
1146199,trivial
1146201,major
1146202,minor
1146203,blocker
1146204,blocker
1146209,trivial
1146213,major
1146214,trivial
1146216,minor
1146221,critical
1146222,critical
1146223,blocker
1146229,blocker
1146234,critical
1146235,enhancement
1146243,blocker
1146257,blocker
1146267,blocker
1146295,critical
1146297,trivial
1146298,normal
1146311,critical
1146313,blocker
1146315,minor
1146316,blocker
1146318,critical
1146333,minor
1146335,blocker
1146337,blocker
1146339,normal
1146349,enhancement
1146350,blocker
1146362,enhancement
1146363,critical
1146364,enhancement
1146365,major
1146368,normal
1146372,normal
1146378,trivial
1146387,major
1146390,major
1146410,blocker
1146416,minor
1146418,trivial
1146421,enhancement
1146440,minor
1146442,trivial
1146462,enhancement
1146471,normal
1146472,enhancement
1146482,normal
1146485,blocker
1146508,major
1146509,enhancement
1146515,enhancement
1146518,major
1146520,normal
1146529,critical
1146532,major
1146538,blocker
1146557,trivial
1146561,minor
1146563,trivial
1146570,minor
1146585,enhancement
1146592,blocker
1146597,blocker
1146610,minor
1146612,enhancement
1146615,normal
1146619,trivial
1146626,normal
1146637,major
1146644,critical
1146662,trivial
1146663,trivial
1146665,enhancement
1146668,critical
1146669,critical
1146674,major
1146676,minor
1146677,blocker
1146679,trivial
1146685,blocker
1146691,enhancement
1146692,critical
1146696,critical
1146718,trivial
1146721,blocker
1146723,critical
1146727,critical
1146729,minor
1146733,trivial
1146738,blocker
1146743,blocker
1146754,minor
1146756,trivial
1146768,enhancement
1146794,blocker
1146795,trivial
1146797,minor
1146817,trivial
1146836,blocker
1146857,enhancement
1146859,minor
1146865,trivial
1146867,major
1146868,normal
1146869,minor
1146873,major
1146874,blocker
1146875,minor
1146881,major
1146883,major
1146884,blocker
1146888,blocker
1146891,trivial
1146895,minor
1146896,minor
1146899,trivial
1146902,enhancement
1146903,trivial
1146912,trivial
1146934,major
1146949,critical
1146954,critical
1146955,enhancement
1146969,trivial
1146979,trivial
1146987,major
1146992,major
1146994,critical
1146998,major
1147005,normal
1147025,major
1147026,major
1147037,normal
1147038,blocker
1147041,minor
1147043,normal
1147044,major
1147045,critical
1147046,trivial
1147048,enhancement
1147061,normal
1147062,critical
1147065,blocker
1147067,enhancement
1147069,critical
1147078,enhancement
1147079,minor
1147080,minor
1147081,normal
1147083,normal
1147085,minor
1147090,normal
1147091,normal
1147130,minor
1147144,enhancement
1147150,minor
1147153,critical
1147154,normal
1147162,trivial
1147168,enhancement
1147170,enhancement
1147178,major
1147180,normal
1147183,major
1147184,major
1147187,trivial
1147188,blocker
1147193,enhancement
1147194,trivial
1147195,minor
1147207,blocker
1147212,minor
1147213,critical
1147214,enhancement
1147215,minor
1147216,enhancement
1147217,critical
1147223,major
1147224,normal
1147226,critical
1147229,normal
1147234,critical
1147238,critical
1147239,major
1147241,critical
1147242,trivial
1147243,enhancement
1147244,critical
1147247,critical
1147248,minor
1147249,blocker
1147253,enhancement
1147258,trivial
1147274,trivial
1147276,blocker
1147279,blocker
1147282,trivial
1147283,normal
1147286,blocker
1147297,major
1147303,minor
1147304,blocker
1147335,critical
1147353,trivial
1147355,normal
1147359,trivial
1147367,minor
1147371,major
1147379,minor
1147384,enhancement
1147387,enhancement
1147390,major
1147392,trivial
1147400,trivial
1147401,critical
1147403,major
1147405,blocker
1147412,blocker
1147414,major
1147423,minor
1147424,blocker
1147430,major
1147431,major
1147433,minor
1147435,normal
1147439,critical
1147441,minor
1147446,enhancement
1147447,major
1147448,major
1147459,minor
1147485,trivial
1147486,minor
1147490,critical
1147491,trivial
1147495,blocker
1147497,enhancement
1147504,enhancement
1147514,critical
1147518,enhancement
1147521,minor
1147532,critical
1147533,normal
1147538,enhancement
1147539,trivial
1147544,major
1147545,minor
1147547,major
1147551,enhancement
1147555,normal
1147558,critical
1147562,enhancement
1147572,normal
1147574,normal
1147581,critical
1147588,trivial
1147589,trivial
1147592,blocker
1147594,enhancement
1147598,critical
1147599,enhancement
1147600,blocker
1147603,blocker
1147608,enhancement
1147620,trivial
1147629,minor
1147642,major
1147643,minor
1147646,trivial
1147648,trivial
1147655,minor
1147660,enhancement
1147662,critical
1147665,major
1147668,enhancement
1147669,blocker
1147670,minor
1147673,blocker
1147675,critical
1147681,minor
1147686,major
1147689,major
1147692,major
1147695,critical
1147699,enhancement
1147706,minor
1147707,minor
1147711,minor
1147714,enhancement
1147716,critical
1147722,blocker
1147723,trivial
1147725,critical
1147726,blocker
1147728,critical
1147730,minor
1147732,minor
1147733,minor
1147737,major
1147744,blocker
1147745,normal
1147746,normal
1147748,normal
1147752,enhancement
1147753,major
1147760,minor
1147763,minor
1147764,minor
1147766,trivial
1147769,minor
1147775,trivial
1147777,trivial
1147778,enhancement
1147782,critical
1147783,blocker
1147793,blocker
1147804,minor
1147810,critical
1147817,trivial
1147819,critical
1147820,minor
1147821,normal
1147830,major
1147834,trivial
1147836,blocker
1147837,minor
1147839,enhancement
1147843,enhancement
1147847,critical
1147848,normal
1147850,critical
1147857,enhancement
1147863,minor
1147866,minor
1147870,major
1147872,major
1147884,minor
1147888,blocker
1147890,enhancement
1147894,minor
1147896,trivial
1147897,trivial
1147899,trivial
1147900,blocker
1147907,critical
1147908,blocker
1147909,blocker
1147910,critical
1147911,enhancement
1147913,trivial
1147916,trivial
1147919,critical
1147923,normal
1147928,enhancement
1147929,blocker
1147931,blocker
1147939,blocker
1147940,trivial
1147942,blocker
1147946,trivial
1147947,enhancement
1147948,blocker
1147951,blocker
1147952,normal
1147953,minor
1147954,critical
1147956,major
1147966,blocker
1147967,enhancement
1147973,enhancement
1147983,normal
1147985,blocker
1147990,major
1147995,normal
1147996,critical
1148004,normal
1148005,normal
1148006,enhancement
1148009,minor
1148012,enhancement
1148013,blocker
1148022,blocker
1148023,minor
1148025,trivial
1148030,minor
1148031,blocker
1148033,enhancement
1148044,critical
1148049,critical
1148051,major
1148055,enhancement
1148062,major
1148064,enhancement
1148069,trivial
1148070,normal
1148071,normal
1148076,normal
1148077,normal
1148078,blocker
1148083,trivial
1148088,minor
1148092,normal
1148102,trivial
1148103,major
1148104,critical
1148107,blocker
1148117,normal
1148131,blocker
1148156,normal
1148161,minor
1148171,major
1148173,major
1148179,trivial
1148180,critical
1148188,trivial
1148196,normal
1148202,normal
1148203,major
1148204,major
1148206,minor
1148208,blocker
1148210,blocker
1148213,trivial
1148214,enhancement
1148215,major
1148219,critical
1148221,normal
1148222,major
1148224,major
1148227,normal
1148228,trivial
1148230,normal
1148231,normal
1148232,blocker
1148234,normal
1148235,normal
1148236,enhancement
1148237,minor
1148262,enhancement
1148265,trivial
1148266,minor
1148268,critical
1148278,blocker
1148283,major
1148286,minor
1148288,critical
1148292,trivial
1148294,major
1148298,enhancement
1148307,critical
1148313,major
1148328,enhancement
1148339,major
1148350,blocker
1148354,normal
1148357,critical
1148358,major
1148362,blocker
1148375,normal
1148376,blocker
1148377,normal
1148379,critical
1148383,blocker
1148388,minor
1148397,major
1148405,major
1148406,normal
1148407,enhancement
1148409,critical
1148412,minor
1148414,major
1148418,normal
1148434,blocker
1148436,enhancement
1148445,major
1148450,critical
1148458,critical
1148479,major
1148481,minor
1148494,normal
1148496,normal
1148506,blocker
1148515,minor
1148523,critical
1148526,normal
1148527,blocker
1148529,normal
1148534,enhancement
1148535,major
1148539,normal
1148540,critical
1148541,minor
1148542,normal
1148544,trivial
1148568,trivial
1148571,blocker
1148572,major
1148573,major
1148581,blocker
1148582,minor
1148583,normal
1148588,major
1148591,normal
1148593,trivial
1148635,trivial
1148636,enhancement
1148639,enhancement
1148640,normal
1148641,trivial
1148644,trivial
1148649,normal
1148650,blocker
1148652,major
1148656,enhancement
1148660,minor
1148661,blocker
1148673,major
1148676,enhancement
1148678,major
1148683,enhancement
1148686,critical
1148688,critical
1148689,minor
1148693,normal
1148694,normal
1148696,major
1148699,trivial
1148708,major
1148711,enhancement
1148718,enhancement
1148732,blocker
1148750,minor
1148754,blocker
1148757,minor
1148766,minor
1148768,critical
1148769,major
1148772,major
1148774,enhancement
1148776,major
1148792,major
1148818,trivial
1148829,normal
1148831,normal
1148832,trivial
1148833,normal
1148839,critical
1148844,minor
1148845,trivial
1148846,trivial
1148848,trivial
1148849,normal
1148851,trivial
1148853,major
1148854,trivial
1148855,normal
1148856,critical
1148861,trivial
1148864,normal
1148865,major
1148866,minor
1148867,normal
1148868,major
1148869,minor
1148870,normal
1148871,enhancement
1148872,blocker
1148873,trivial
1148874,trivial
1148880,trivial
1148883,blocker
1148885,major
1148897,trivial
1148899,normal
1148903,major
1148914,normal
1148916,minor
1148917,critical
1148921,blocker
1148922,major
1148925,minor
1148931,normal
1148932,normal
1148935,normal
1148942,enhancement
1148944,blocker
1148946,enhancement
1148947,enhancement
1148949,minor
1148952,critical
1148956,enhancement
1148962,critical
1148963,major
1148964,enhancement
1148967,major
1148969,minor
1148970,normal
1148971,major
1148973,enhancement
1148978,blocker
1148984,enhancement
1148991,trivial
1148993,enhancement
1149001,minor
1149004,blocker
1149007,major
1149009,trivial
1149015,critical
1149035,minor
1149037,major
1149039,trivial
1149041,enhancement
1149042,normal
1149053,critical
1149056,enhancement
1149060,enhancement
1149076,blocker
1149078,major
1149080,enhancement
1149098,trivial
1149103,minor
1149118,major
1149119,enhancement
1149122,normal
1149124,major
1149127,enhancement
1149128,minor
1149130,normal
1149132,trivial
1149133,normal
1149134,normal
1149135,trivial
1149141,enhancement
1149146,minor
1149159,normal
1149163,critical
1149165,normal
1149174,blocker
1149183,enhancement
1149185,critical
1149194,blocker
1149195,critical
1149215,major
1149222,trivial
1149228,critical
1149235,normal
1149240,trivial
1149249,normal
1149260,enhancement
1149271,major
1149272,critical
1149274,major
1149278,trivial
1149279,normal
1149280,critical
1149288,minor
1149291,blocker
1149298,enhancement
1149304,trivial
1149312,major
1149313,normal
1149318,blocker
1149324,trivial
1149329,enhancement
1149333,enhancement
1149339,normal
1149343,trivial
1149352,normal
1149357,normal
1149358,major
1149361,critical
1149366,normal
1149375,blocker
1149376,normal
1149377,blocker
1149381,blocker
1149383,critical
1149386,trivial
1149395,critical
1149397,major
1149399,critical
1149408,enhancement
1149412,critical
1149415,blocker
1149416,major
1149420,trivial
1149428,major
1149456,minor
1149461,enhancement
1149463,minor
1149476,normal
1149480,major
1149481,major
1149482,trivial
1149483,major
1149491,enhancement
1149492,trivial
1149494,trivial
1149495,minor
1149498,enhancement
1149510,critical
1149513,trivial
1149515,trivial
1149516,blocker
1149519,blocker
1149521,major
1149523,trivial
1149524,major
1149525,minor
1149526,normal
1149527,normal
1149531,normal
1149533,normal
1149534,blocker
1149535,enhancement
1149542,minor
1149551,trivial
1149552,minor
1149553,blocker
1149555,minor
1149556,normal
1149558,blocker
1149562,major
1149563,trivial
1149566,critical
1149575,normal
1149605,trivial
1149612,critical
1149613,trivial
1149622,critical
1149646,minor
1149651,minor
1149673,blocker
1149706,critical
1149710,major
1149718,enhancement
1149719,trivial
1149724,normal
1149728,minor
1149731,blocker
1149736,minor
1149739,blocker
1149745,minor
1149752,enhancement
1149760,minor
1149761,blocker
1149769,trivial
1149770,blocker
1149772,enhancement
1149777,critical
1149781,normal
1149784,minor
1149785,normal
1149786,normal
1149787,minor
1149792,normal
1149797,enhancement
1149801,trivial
1149805,blocker
1149807,major
1149808,enhancement
1149811,major
1149814,enhancement
1149815,trivial
1149824,critical
1149825,normal
1149826,minor
1149830,major
1149832,critical
1149833,blocker
1149836,blocker
1149838,blocker
1149839,minor
1149840,normal
1149841,blocker
1149842,critical
1149848,major
1149852,blocker
1149853,critical
1149854,normal
1149855,normal
1149861,normal
1149863,blocker
1149864,blocker
1149865,normal
1149872,enhancement
1149875,major
1149876,trivial
1149888,blocker
1149891,normal
1149893,critical
1149894,blocker
1149906,enhancement
1149913,major
1149914,major
1149923,minor
1149924,normal
1149931,minor
1149932,enhancement
1149941,major
1149945,minor
1149946,blocker
1149954,enhancement
1149959,trivial
1149960,minor
1149961,trivial
1149971,major
1149972,minor
1149979,critical
1149984,critical
1149985,enhancement
1149987,normal
1149990,enhancement
1149993,major
1149997,normal
1149998,major
1150001,normal
1150004,normal
1150008,enhancement
1150011,critical
1150017,minor
1150021,trivial
1150023,trivial
1150029,normal
1150036,enhancement
1150038,major
1150039,minor
1150042,trivial
1150043,blocker
1150046,critical
1150047,enhancement
1150049,major
1150054,normal
1150058,blocker
1150064,enhancement
1150066,blocker
1150069,minor
1150071,blocker
1150081,normal
1150089,critical
1150106,major
1150114,minor
1150123,critical
1150124,trivial
1150127,critical
1150128,trivial
1150136,critical
1150140,blocker
1150144,major
1150146,minor
1150155,minor
1150165,blocker
1150166,major
1150172,normal
1150182,critical
1150184,major
1150188,blocker
1150195,enhancement
1150197,blocker
1150201,enhancement
1150203,critical
1150207,critical
1150223,normal
1150224,trivial
1150226,trivial
1150227,normal
1150232,major
1150240,major
1150245,major
1150246,major
1150250,minor
1150253,trivial
1150266,trivial
1150271,normal
1150277,major
1150280,normal
1150282,minor
1150284,minor
1150288,blocker
1150290,minor
1150294,critical
1150297,blocker
1150302,enhancement
1150303,critical
1150305,blocker
1150306,trivial
1150308,critical
1150310,blocker
1150312,normal
1150315,normal
1150324,normal
1150333,normal
1150337,critical
1150338,blocker
1150349,minor
1150351,trivial
1150352,minor
1150354,enhancement
1150355,critical
1150357,normal
1150363,enhancement
1150365,enhancement
1150371,trivial
1150375,enhancement
1150376,major
1150380,major
1150381,critical
1150384,major
1150385,trivial
1150386,blocker
1150387,major
1150394,normal
1150395,major
1150396,major
1150402,critical
1150406,major
1150407,critical
1150410,trivial
1150413,critical
1150431,minor
1150433,major
1150435,major
1150437,blocker
1150438,major
1150441,enhancement
1150443,minor
1150444,trivial
1150460,major
1150470,enhancement
1150481,enhancement
1150487,normal
1150494,minor
1150505,critical
1150510,enhancement
1150513,normal
1150515,normal
1150519,major
1150520,enhancement
1150526,trivial
1150534,normal
1150535,blocker
1150539,critical
1150544,trivial
1150549,blocker
1150552,blocker
1150554,blocker
1150565,blocker
1150572,enhancement
1150574,critical
1150584,trivial
1150593,minor
1150595,critical
1150598,minor
1150602,minor
1150607,minor
1150608,blocker
1150609,minor
1150614,normal
1150618,blocker
1150619,normal
1150622,enhancement
1150623,minor
1150639,trivial
1150642,minor
1150643,blocker
1150647,normal
1150648,normal
1150650,normal
1150654,major
1150659,enhancement
1150665,trivial
1150666,blocker
1150670,minor
1150673,blocker
1150683,blocker
1150684,major
1150687,normal
1150691,enhancement
1150701,major
1150703,major
1150704,critical
1150705,trivial
1150709,blocker
1150714,minor
1150716,trivial
1150737,minor
1150750,trivial
1150756,trivial
1150760,critical
1150762,critical
1150763,enhancement
1150765,major
1150766,major
1150767,normal
1150768,critical
1150769,major
1150770,blocker
1150771,critical
1150774,trivial
1150775,critical
1150779,blocker
1150781,minor
1150783,normal
1150785,minor
1150805,normal
1150807,enhancement
1150808,major
1150810,major
1150811,trivial
1150812,major
1150836,minor
1150837,minor
1150845,enhancement
1150846,normal
1150847,blocker
1150852,trivial
1150853,major
1150855,enhancement
1150856,blocker
1150857,blocker
1150858,minor
1150861,critical
1150868,major
1150873,blocker
1150877,blocker
1150885,trivial
1150894,major
1150895,enhancement
1150896,critical
1150897,minor
1150902,trivial
1150906,minor
1150917,enhancement
1150924,enhancement
1150926,enhancement
1150936,blocker
1150941,blocker
1150944,blocker
1150959,blocker
1150966,normal
1150984,major
1150988,minor
1150991,critical
1150993,minor
1150995,blocker
1151001,normal
1151005,blocker
1151013,normal
1151015,enhancement
1151016,blocker
1151017,trivial
1151021,minor
1151036,normal
1151039,blocker
1151040,normal
1151046,normal
1151048,minor
1151060,normal
1151071,trivial
1151080,critical
1151082,enhancement
1151085,normal
1151095,trivial
1151099,enhancement
1151108,critical
1151111,trivial
1151112,critical
1151117,blocker
1151118,trivial
1151119,critical
1151122,normal
1151124,critical
1151134,normal
1151135,minor
1151136,normal
1151139,enhancement
1151145,blocker
1151146,blocker
1151149,trivial
1151151,trivial
1151152,critical
1151155,critical
1151161,minor
1151166,blocker
1151168,major
1151169,blocker
1151171,blocker
1151175,blocker
1151180,major
1151182,trivial
1151183,enhancement
1151186,major
1151189,major
1151193,minor
1151194,minor
1151195,critical
1151201,normal
1151202,enhancement
1151204,minor
1151212,enhancement
1151213,blocker
1151214,minor
1151220,critical
1151226,normal
1151233,trivial
1151236,critical
1151237,normal
1151242,major
1151243,trivial
1151258,normal
1151263,major
1151269,minor
1151270,enhancement
1151274,major
1151276,enhancement
1151277,trivial
1151279,trivial
1151281,major
1151291,critical
1151296,critical
1151299,minor
1151306,trivial
1151308,enhancement
1151309,blocker
1151310,major
1151315,major
1151316,critical
1151318,trivial
1151319,critical
1151323,trivial
1151326,major
1151333,trivial
1151341,enhancement
1151344,enhancement
1151346,minor
1151348,critical
1151349,critical
1151352,minor
1151359,minor
1151360,trivial
1151361,normal
1151367,enhancement
1151370,blocker
1151372,enhancement
1151373,blocker
1151374,critical
1151375,critical
1151378,normal
1151385,major
1151397,critical
1151401,major
1151402,normal
1151410,major
1151421,blocker
1151423,critical
1151429,trivial
1151441,major
1151445,enhancement
1151454,major
1151483,trivial
1151487,minor
1151488,normal
1151489,normal
1151492,blocker
1151495,enhancement
1151500,major
1151512,major
1151515,critical
1151541,minor
1151543,major
1151548,minor
1151549,normal
1151551,critical
1151554,enhancement
1151571,minor
1151572,normal
1151573,blocker
1151576,minor
1151577,minor
1151581,major
1151583,normal
1151587,normal
1151595,normal
1151596,enhancement
1151603,blocker
1151604,critical
1151607,normal
1151608,major
1151609,critical
1151611,critical
1151612,enhancement
1151613,normal
1151614,blocker
1151617,major
1151624,trivial
1151628,minor
1151632,critical
1151634,blocker
1151638,trivial
1151641,normal
1151643,major
1151644,enhancement
1151646,major
1151647,minor
1151648,major
1151650,enhancement
1151652,blocker
1151654,blocker
1151656,blocker
